,word,label,sentence_id
0,Development,O,0
1,of,O,0
2,active,O,0
3,glasses,O,0
4,for,O,0
5,mitigating,O,0
6,presbyopia,B-NAME_OF_DISEASE,0
7,has,O,0
8,become,O,0
9,an,O,0
10,active,O,0
11,area,O,0
12,of,O,0
13,research,O,0
14,facilitated,O,0
15,by,O,0
16,the,O,0
17,miniaturization,O,0
18,of,O,0
19,focus-tunable,O,0
20,lenses,O,0
21,as,O,0
22,well,O,0
23,as,O,0
24,the,O,0
25,increased,O,0
26,processing,O,0
27,power,O,0
28,of,O,0
29,modern,O,0
30,computers,O,0
31,Alcon,B-ORGANIZATION,1
32,the,O,1
33,global,O,1
34,leader,O,1
35,in,O,1
36,eye,O,1
37,care,O,1
38,dedicated,O,1
39,to,O,1
40,helping,O,1
41,people,O,1
42,see,O,1
43,brilliantly,O,1
44,has,O,1
45,commercially,O,1
46,launched,O,1
47,the,O,1
48,first,O,1
49,and,O,1
50,only,O,1
51,non-diffractive,B-TREATMENT,1
52,extended,I-TREATMENT,1
53,depth,I-TREATMENT,1
54,of,I-TREATMENT,1
55,focus,I-TREATMENT,1
56,intraocular,I-TREATMENT,1
57,lens,I-TREATMENT,1
58,IOL,B-TREATMENT,1
59,in,O,1
60,the,O,1
61,U.S,O,1
62,-,O,2
63,the,B-TREATMENT,2
64,AcrySof®,I-TREATMENT,2
65,IQ,I-TREATMENT,2
66,VivityTM,I-TREATMENT,2
67,IOL,B-TREATMENT,2
68,Vivity,B-TREATMENT,2
69,,O,2
70,This,O,3
71,new,O,3
72,presbyopia-mitigating,B-TREATMENT,3
73,lens,I-TREATMENT,3
74,is,O,3
75,now,O,3
76,available,O,3
77,to,O,3
78,all,O,3
79,U.S,O,3
80,ophthalmologists,O,4
81,for,O,4
82,patients,O,4
83,undergoing,O,4
84,cataract,B-NAME_OF_DISEASE,4
85,surgery,I-TREATMENT,4
86,Cataracts,B-NAME_OF_DISEASE,5
87,are,O,5
88,the,O,5
89,most,O,5
90,common,O,5
91,cause,O,5
92,of,O,5
93,vision,B-SIGN_AND_SYMPTOM,5
94,loss,I-SIGN_AND_SYMPTOM,5
95,globally,O,5
96,The,O,6
97,U.S,O,6
